MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Salto Grande,14.316,20.115,10.261,23.067,67.758,4.863,72.621,8.455
Sandovalina,17.126,75.374,7.780,7.565,107.846,822,108.668,33.191
Santa Adélia,40.340,6.522,15.433,42.773,105.067,9.335,114.403,8.324
Santa Albertina,8.869,3.030,7.056,12.727,31.681,1.672,33.353,5.896
Santa Bárbara d'Oeste,25.369,553.189,207.043,549.546,1.335.148,240.037,1.575.185,9.097
Santa Branca,25.260,49.548,18.315,33.459,126.581,13.535,140.117,10.561
Santa Clara d'Oeste,9.457,866,3.186,3.389,16.899,322,17.221,8.123
Santa Cruz da Conceição,19.124,8.962,6.183,18.806,53.074,4.533,57.607,15.684
Santa Cruz da Esperança,7.715,1.097,3.565,3.233,15.611,293,15.904,8.555
Santa Cruz das Palmeiras,36.206,8.298,29.896,78.813,153.213,12.101,165.314,6.166
Santa Cruz do Rio Pardo,75.221,145.691,43.300,212.995,477.206,77.905,555.112,13.248
Santa Ernestina,16.162,4.410,6.956,11.635,39.163,1.183,40.346,7.066
Santa Fé do Sul,12.211,78.304,40.480,121.026,252.022,26.629,278.651,10.168
Santa Gertrudes,9.412,159.994,23.158,60.314,252.878,50.206,303.085,17.289
Santa Isabel,13.136,127.141,50.458,172.354,363.089,42.795,405.884,8.835
Santa Lúcia,32.982,5.171,10.035,14.682,62.869,1.323,64.193,8.062
Santa Maria da Serra,14.000,5.108,5.706,14.657,39.471,4.163,43.635,8.951
Santa Mercedes,2.945,1.405,4.155,3.826,12.331,638,12.970,4.589
Santa Rita do Passa Quatro,72.427,38.209,33.565,109.238,253.439,23.602,277.041,10.531
Santa Rita d'Oeste,8.932,16.267,4.382,11.035,40.616,3.652,44.269,16.537
Santa Rosa de Viterbo,18.765,105.568,24.471,69.616,218.421,39.177,257.598,11.634
Santa Salete,5.205,414,2.687,1.864,10.170,201,10.371,7.356
Santana da Ponte Pensa,6.613,765,3.267,2.907,13.552,291,13.843,7.602
Santana de Parnaíba,19.319,395.988,163.791,1.285.263,1.864.361,323.808,2.188.169,25.943
Santo Anastácio,13.352,9.470,23.673,66.398,112.892,9.974,122.866,5.926
